9999,63,4
9999,77,5.0
9999,122,5.0
9999,155,5.0
9999,180,3.5
9999,329,4.0
9999,8587,5.0
9999,808,2.5
9999,752,4.0
9999,862,3.5
9999,557,3.5
9999,558,3.0
9999,607,5.0
9999,550,4.5
9999,602,3.0
9999,680,5
9999,36657,4.0
9999,98,3
7777,22,4
7777,120,5
7777,122,5
7777,121,5
7777,180,5
7777,274,5
7777,329,4
7777,557,4
7777,558,4
7777,597,4.5
7777,607,5
7777,641,5
7777,671,5
7777,672,5
7777,745,5
7777,752,5
7777,808,4.5
7777,809,4
7777,11,3
9999,11,2.5
9999,121,4.5
9999,120,4
9999,243,4
123,812,3
9999,671,3.5
9999,3049,2
9999,672,5
9999,745,4
7777,10020,4.5
7777,8587,5
7777,12,4.5
7777,9806,4.5
7777,954,4
99999,272,3.5
99999,194,3
99999,812,4
99999,453,4
99999,180,4.5
99999,329,4.5
99999,36657,3.5
99999,146,5
99999,85,3
99999,238,4
99999,752,4
99999,63,4.5
99999,77,5
99999,550,4
99999,808,4.5
9999,12,4.5
